,about_pages,age,complete,good,home,member_since,num_pos_list,num_refs_list,profile_len,sex
190,https://www.couchsurfing.com/people/jjvaananen,['32'],['100'],1.0,Finland,['2008'],flag,['35'],6359,Male
191,https://www.couchsurfing.com/people/paavo.karlin,['28'],['100'],1.0,Finland,['2012'],['3'],['3'],1071,Male
192,https://www.couchsurfing.com/people/jjkorhonen,['39'],['100'],1.0,listed,['2008'],flag,['20'],1388,Male
193,https://www.couchsurfing.com/people/lizwest,['27'],['90'],1.0,listed,['2010'],['4'],['4'],2095,Female
194,https://www.couchsurfing.com/people/samiph,['27'],['100'],1.0,Helsinki,['2012'],['3'],['4'],1913,Male
195,https://www.couchsurfing.com/people/katri-pfuhl,['26'],['100'],1.0,Finland,['2015'],['1'],['2'],1127,Female
196,https://www.couchsurfing.com/people/mattialanen,['30'],['100'],1.0,Raahe,['2014'],['4'],['6'],805,Male
197,https://www.couchsurfing.com/people/helenataylor,['22'],['100'],1.0,Finland,['2013'],['2'],['2'],1795,Female
198,https://www.couchsurfing.com/people/stuntboy,['26'],['100'],1.0,listed,['2014'],['3'],['5'],574,Male
199,https://www.couchsurfing.com/people/kryzzo,['37'],['100'],1.0,France,['2010'],['17'],['23'],3086,Male
200,https://www.couchsurfing.com/people/sanpusa,['34'],['95'],1.0,Finland,['2010'],flag,['11'],2612,Male
201,https://www.couchsurfing.com/users/608609,['35'],['100'],1.0,Finland,['2008'],['6'],['11'],1590,Female
202,https://www.couchsurfing.com/people/omidjaan,['31'],['95'],1.0,:D,['2010'],['5'],['9'],2855,Male
203,https://www.couchsurfing.com/people/whiterabbit80,['36'],['100'],1.0,Helsinki,['2008'],['1'],['1'],755,Male
204,https://www.couchsurfing.com/people/pauliina.savola,['35'],['95'],1.0,FIN,['2012'],flag,['3'],2136,Female
205,https://www.couchsurfing.com/people/kirill.kirsanov.5,['31'],['100'],1.0,listed,['2012'],['7'],['7'],826,Male
206,https://www.couchsurfing.com/people/eeevis,['36'],['90'],1.0,Finland,['2010'],['3'],['7'],1637,Female
207,https://www.couchsurfing.com/people/karvakamut,['31'],['100'],1.0,Espoo,['2011'],flag,['82'],2764,Other
208,https://www.couchsurfing.com/people/wiuhti,['33'],['90'],1.0,listed,['2007'],['9'],['14'],1623,Other
209,https://www.couchsurfing.com/people/jrmaa,['31'],['100'],1.0,Finland,['2006'],flag,['20'],2273,Male
210,https://www.couchsurfing.com/people/harrika,['53'],['100'],1.0,Helsinki,['2008'],flag,['5'],1916,Male
211,https://www.couchsurfing.com/people/mkontturi,['29'],['95'],1.0,listed,['2012'],flag,['16'],1421,Male
212,https://www.couchsurfing.com/people/onur-karalar,['31'],['90'],1.0,Turkey,['2015'],['2'],['2'],725,Male
213,https://www.couchsurfing.com/people/villesallinen,['23'],['90'],1.0,listed,['2013'],['1'],['2'],1239,Male
214,https://www.couchsurfing.com/people/tuomasjuutilainen,['28'],['100'],1.0,Finland,['2013'],flag,['11'],1363,Male
215,https://www.couchsurfing.com/people/mutron,['36'],['95'],1.0,sweden,['2005'],['5'],['5'],836,Male
216,https://www.couchsurfing.com/people/sirherbert,['29'],['95'],1.0,Finland,['2009'],['6'],['6'],1195,Male
217,https://www.couchsurfing.com/people/cristianbujor,['38'],['90'],1.0,listed,['2013'],flag,['3'],33,Male
218,https://www.couchsurfing.com/people/jenna.niemi,['22'],['95'],1.0,listed,['2012'],['1'],['1'],418,Female
219,https://www.couchsurfing.com/people/riina.annika,['29'],['95'],1.0,Finland,['2012'],['6'],['6'],2938,Female
220,https://www.couchsurfing.com/people/laurtsa,['26'],['95'],1.0,Helsinki,['2010'],['2'],['3'],1357,Male
221,https://www.couchsurfing.com/people/mikaeluht,['31'],['100'],1.0,Monaco,['2013'],['1'],['4'],817,Male
222,https://www.couchsurfing.com/people/rod-mjaa,['30'],['95'],1.0,helsinki,['2009'],['3'],['7'],978,Male
223,https://www.couchsurfing.com/people/helilindfors,['30'],['65'],1.0,listed,['2014'],['1'],['1'],1132,Female
224,https://www.couchsurfing.com/people/colobigbow,['30'],['90'],1.0,"Jiaxing,China",['2008'],['6'],['6'],771,Female
225,https://www.couchsurfing.com/people/simuz,['33'],['90'],1.0,Alps,['2008'],['10'],['34'],1063,Female
226,https://www.couchsurfing.com/people/ahomaij,['36'],['65'],1.0,Kokkola,['2011'],flag,['6'],1019,Female
227,https://www.couchsurfing.com/people/aaaatu,['28'],['100'],1.0,Finland,['2012'],flag,['1'],1236,Male
228,https://www.couchsurfing.com/people/kehvola,['31'],['60'],1.0,listed,['2012'],flag,['4'],805,Female
229,https://www.couchsurfing.com/people/kukalie,['33'],['95'],1.0,Viitasaari,['2009'],['2'],['2'],424,Male
230,https://www.couchsurfing.com/people/leptor,['30'],['90'],1.0,Morelos,['2009'],['8'],['11'],2145,Male
231,https://www.couchsurfing.com/people/maihu,['31'],['95'],1.0,Finland,['2010'],['3'],['5'],1788,Female
232,https://www.couchsurfing.com/people/papazidane,['32'],['100'],1.0,Spain,['2009'],flag,['4'],1135,Male
233,https://www.couchsurfing.com/people/bonaventure,['33'],['95'],1.0,listed,['2006'],['15'],['16'],725,Male
234,https://www.couchsurfing.com/people/heidisusanna,['33'],['95'],1.0,Helsinki,['2008'],['3'],['11'],1937,Female
235,https://www.couchsurfing.com/people/lassial,['36'],['95'],1.0,listed,['2008'],['1'],['3'],1396,Male
236,https://www.couchsurfing.com/people/parseval,['42'],['95'],1.0,Toulouse,['2009'],['2'],['3'],1973,Male
